name,gender,country
Eliud Kipchoge,men,KEN
Kelvin Kiptum,men,KEN
Tamirat Tola,men,ETH
Geoffrey Kamworor,men,KEN
Kenenisa Bekele,men,ETH
Sifan Hassan,women,NED
Hellen Obiri,women,KEN
Tigst Assefa,women,ETH
Brigid Kosgei,women,KEN
Ruth Chepngetich,women,KEN
